group,user,kc,competency
7a01ab37bd2729626dcaf96166390315,82ad0b937435798fbb2091527e421451,MG.1,0.48710689156666037
7a01ab37bd2729626dcaf96166390315,86e8f92f3a09a2f64ae0c8eedfbf7e53,GMD.4,1.0
7a01ab37bd2729626dcaf96166390315,86e8f92f3a09a2f64ae0c8eedfbf7e53,CO.5,1.0
7a01ab37bd2729626dcaf96166390315,86e8f92f3a09a2f64ae0c8eedfbf7e53,CO.6,1.0
7a01ab37bd2729626dcaf96166390315,86e8f92f3a09a2f64ae0c8eedfbf7e53,MG.1,0.7920375367482364
7a01ab37bd2729626dcaf96166390315,8722a7065bec725bd89027515a38ce3f,GMD.4,0.465475961935076
7a01ab37bd2729626dcaf96166390315,8722a7065bec725bd89027515a38ce3f,CO.5,0.4387114386862656
7a01ab37bd2729626dcaf96166390315,8722a7065bec725bd89027515a38ce3f,CO.6,0.4755198169933352
7a01ab37bd2729626dcaf96166390315,8722a7065bec725bd89027515a38ce3f,MG.1,0.575671547864642
7a01ab37bd2729626dcaf96166390315,8b44d17f9b0196463b19431a948a9e98,GMD.4,0.8899518881745395
7a01ab37bd2729626dcaf96166390315,8b44d17f9b0196463b19431a948a9e98,CO.5,0.8846114906048718
7a01ab37bd2729626dcaf96166390315,8b44d17f9b0196463b19431a948a9e98,CO.6,0.8729877063321742
7a01ab37bd2729626dcaf96166390315,8b44d17f9b0196463b19431a948a9e98,MG.1,0.7343124126861881
7a01ab37bd2729626dcaf96166390315,993408ffe6e0e8aead57ab51a1ef269d,GMD.4,0.4387016753784397
7a01ab37bd2729626dcaf96166390315,993408ffe6e0e8aead57ab51a1ef269d,CO.5,0.4733332660732692
7a01ab37bd2729626dcaf96166390315,993408ffe6e0e8aead57ab51a1ef269d,CO.6,0.4645396913616303
7a01ab37bd2729626dcaf96166390315,993408ffe6e0e8aead57ab51a1ef269d,MG.1,0.5321201991748258
7a01ab37bd2729626dcaf96166390315,9b5657ee770823fe25d1c7aeb56e6bf5,GMD.4,0.7870060631550538
